gubun,code,name
1,005250,녹십자홀딩스
1,005255,녹십자홀딩스1우
1,005257,녹십자홀딩스2우
1,005300,롯데칠성
1,005305,롯데칠성우
1,005320,국동
1,005360,모나미
1,005380,현대차
1,005385,현대차우
1,005387,현대차2우B
1,005389,현대차3우B
1,005390,신성통상
1,005420,코스모화학
1,005430,한국공항
1,005440,현대그린푸드
1,005450,신한
1,005490,POSCO
1,005500,삼진제약
1,005610,삼립식품
1,005620,대성합동지주
1,005680,삼영전자
1,005690,파미셀
1,005720,넥센
1,005725,넥센우
1,005740,크라운제과
1,005745,크라운제우
1,005750,대림B&Co
1,005800,신영와코루
1,005810,풍산홀딩스
1,005820,원림
1,005830,동부화재
1,005850,에스엘
1,005870,휴니드
1,005880,대한해운
1,005930,삼성전자
1,005935,삼성전자우
1,005940,NH투자증권
1,005945,NH투자증권우
1,005950,이수화학
1,005960,동부건설
1,005965,동부건설우
1,005980,성지건설
1,006040,동원산업
1,006060,화승인더
1,006090,사조오양
1,006110,삼아알미늄
1,006120,SK케미칼
1,006125,SK케미칼우
1,006200,한국전자홀딩스
1,006220,제주은행
1,006260,LS
1,006280,녹십자
1,006340,대원전선
1,006345,대원전선우
1,006360,GS건설
1,006370,대구백화점
1,006380,카프로
1,006390,현대시멘트
1,006400,삼성SDI
1,006405,삼성SDI우
1,006490,인스코비
1,006570,대림통상
1,006650,대한유화
1,006660,삼성공조
1,006740,영풍제지
1,006800,대우증권
1,006805,대우증권우
1,006840,AK홀딩스
1,006880,신송홀딩스
1,006890,태경화학
1,006980,우성사료
1,007070,GS리테일
1,007110,일신석재
1,007120,미래아이앤지
1,007160,사조산업
1,007190,한솔아트원제지
1,007197,한솔아트원제지2우B
1,007210,벽산
1,007280,한국특수형강
1,007310,오뚜기
1,007340,동아타이어
1,007460,나라케이아이씨
1,007540,샘표식품
1,007570,일양약품
1,007575,일양약품우
1,007590,동방아그로
1,007610,선도전기
1,007630,지에스인스트루
1,007660,이수페타시스
1,007690,국도화학
1,007700,F&F
1,007810,코리아써키트
1,007815,코리아써우
1,00781K,코리아써키트2우B
1,007860,서연
