,volume,value,sojinrate,high,covolume,l_change,o_diff,marketcap,low,h_sign,chdegree,shcode,o_change,l_diff,diff,date,open,sign,h_diff,h_change,ppvolume,l_sign,changerate,fpvolume,o_sign,change,close,diff_vol
0,20,0,20.38,0,0,-9120,-100.00,6167659,0,5,0.00,000030,-9120,-100.00,0.00,20150901,0,3,-100.00,-9120,0,5,0.00,0,5,0,9120,-100.00
1,1966643,17817,20.38,9120,-256762,-100,-0.11,6167659,8950,2,161.60,000030,-10,-1.10,0.77,20150831,9040,2,0.77,70,-311909,5,0.29,578590,5,70,9120,-34.19
2,2988222,27015,20.29,9130,-979171,60,2.14,6120319,8950,2,58.95,000030,190,0.67,1.80,20150828,9080,2,2.70,240,266134,2,0.44,674967,2,160,9050,-8.01
3,3248505,29036,20.19,9150,-812805,-150,0.67,6012115,8860,2,55.47,000030,60,-1.66,-1.33,20150827,9070,5,1.55,140,1362968,5,0.48,-566151,2,120,8890,45.77
4,2228478,19834,20.27,9030,-129683,-150,-0.45,6093268,8760,2,79.31,000030,-40,-1.68,1.12,20150826,8870,2,1.35,120,439384,5,0.33,-344300,5,100,9010,-7.90
5,2419595,21505,20.32,8980,23088,-70,0.45,6025640,8770,2,71.89,000030,40,-0.79,0.79,20150825,8880,2,1.58,140,186715,5,0.36,-216032,2,70,8910,-23.46
6,3161294,27963,20.33,9010,-317952,-300,-0.11,5978301,8720,5,53.59,000030,-10,-3.33,-2.00,20150824,9010,5,-0.11,-10,619349,5,0.47,-321735,5,180,8840,31.28
7,2407970,21710,20.38,9070,55088,-230,-1.85,6100031,8940,5,60.76,000030,-170,-2.51,-1.64,20150821,9000,5,-1.09,-100,-406856,5,0.36,326776,5,150,9020,32.15
8,1822184,16770,20.33,9390,175554,-350,-0.63,6201473,9100,5,45.39,000030,-60,-3.70,-2.96,20150820,9390,5,-0.63,-60,82788,5,0.27,-261153,5,280,9170,34.79
9,1351856,12766,20.37,9510,286922,-100,0.00,6390831,9390,2,108.80,000030,0,-1.05,-0.42,20150819,9490,5,0.21,20,-228318,5,0.20,-24534,3,40,9450,-15.87
10,1606859,15218,20.37,9550,306585,10,0.11,6417882,9370,2,115.92,000030,10,0.11,1.39,20150818,9370,2,2.03,190,-320311,2,0.24,14917,2,130,9490,50.88
11,1064991,9979,20.37,9450,202876,20,0.86,6329966,9280,2,127.25,000030,80,0.22,1.08,20150817,9340,2,2.05,190,-212828,2,0.16,14307,2,100,9360,-28.23
12,1483903,13794,20.37,9430,-373822,-140,0.00,6262338,9250,2,44.43,000030,0,-1.49,-1.38,20150813,9390,5,0.43,40,323457,5,0.22,50303,3,130,9260,5.63
13,1404785,13132,20.39,9450,182292,-130,0.00,6350254,9270,2,68.63,000030,0,-1.38,-0.11,20150812,9400,5,0.53,50,-367122,5,0.21,196472,3,10,9390,-10.20
14,1564325,14807,20.38,9590,-89157,-190,0.00,6357017,9390,2,54.50,000030,0,-1.98,-1.88,20150811,9580,5,0.10,10,-50759,5,0.23,97672,3,180,9400,-2.60
15,1606119,15360,20.37,9620,98798,-10,0.11,6478747,9480,2,149.84,000030,10,-0.11,0.95,20150810,9500,2,1.37,130,56298,5,0.24,-86317,2,90,9580,140.77
16,667076,6328,20.38,9540,-209520,-50,-0.21,6417882,9440,2,56.50,000030,-20,-0.53,0.00,20150807,9470,3,0.53,50,6148,5,0.10,215571,5,0,9490,-64.20
17,1863241,17751,20.37,9640,-489179,50,0.74,6417882,9450,2,57.72,000030,70,0.53,0.96,20150806,9470,2,2.55,240,-314767,2,0.28,812363,2,90,9490,33.98
18,1390716,13141,20.25,9550,-576163,-150,-0.21,6357017,9380,2,44.35,000030,-20,-1.57,-1.36,20150805,9510,5,0.21,20,134113,5,0.21,439746,5,130,9400,-16.42
19,1664001,15919,20.19,9650,-246102,-30,0.42,6444933,9470,2,86.98,000030,40,-0.32,0.32,20150804,9540,2,1.58,150,-112898,5,0.25,390035,2,30,9530,42.91
20,1164337,11068,20.13,9590,-170760,-100,0.10,6424645,9440,2,72.65,000030,10,-1.05,-0.42,20150803,9550,5,0.52,50,-211671,5,0.17,397783,2,40,9500,-58.78
21,2824382,26841,20.06,9630,-404632,-170,0.94,6451696,9370,2,140.01,000030,90,-1.78,0.00,20150731,9630,3,0.94,90,55823,5,0.42,342058,2,0,9540,-42.57
22,4918158,46285,20.01,9610,756657,40,0.77,6451696,9130,2,206.17,000030,70,0.44,4.95,20150730,9160,2,5.72,520,-1629969,2,0.73,622323,2,450,9540,252.76
23,1394210,12712,19.91,9160,-238892,-90,-0.11,6147370,9080,5,58.53,000030,-10,-0.98,-0.87,20150729,9160,5,-0.11,-10,-48440,5,0.21,-414447,5,80,9090,-48.02
24,2682198,24445,19.99,9190,-376734,-90,-0.55,6201473,9020,2,90.66,000030,-50,-0.99,0.66,20150728,9060,2,0.88,80,-239248,5,0.40,92198,5,60,9170,-5.75
25,2845858,25641,19.98,9140,-910941,-60,0.00,6160896,8900,2,88.03,000030,0,-0.67,1.67,20150727,8960,2,2.01,180,-200541,5,0.42,277861,3,150,9110,81.85
26,1564948,14012,19.93,9080,-373817,-150,0.22,6059454,8910,2,48.10,000030,20,-1.66,-1.10,20150724,9080,5,0.22,20,407072,5,0.23,-13714,2,100,8960,14.52
